epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6654,1.25896,3.12683,1.39131,0.4497,0.68393,0.58039,0.45027,0.7569,2.25883,1.01997,7.5e-05,7.5e-05,7.5e-05
2,111.133,0.87836,1.29896,1.10635,0.70899,0.79052,0.87163,0.62827,0.81717,2.84447,1.04376,0.000159282,0.000159282,0.000159282
3,165.625,0.78693,0.92179,1.04602,0.85069,0.87826,0.92465,0.71638,0.7721,1.75711,1.02662,0.0002401,0.0002401,0.0002401
4,219.069,0.81724,0.885,1.06411,0.83655,0.91371,0.89987,0.71061,0.76511,1.3828,1.00358,0.000317452,0.000317452,0.000317452
5,273.21,0.77071,0.7712,1.00471,0.88419,0.95354,0.95736,0.76,0.74749,0.93492,0.97456,0.00039134,0.00039134,0.00039134
6,326.63,0.76485,0.74509,1.03662,0.9004,0.89063,0.94087,0.73032,0.79906,0.91461,1.03863,0.000461763,0.000461763,0.000461763
7,380.796,0.76101,0.70288,1.02506,0.85539,0.77798,0.87833,0.68677,0.79907,1.01662,1.06792,0.00052872,0.00052872,0.00052872
8,434.75,0.81119,0.69775,1.03577,0.88437,0.81707,0.92437,0.69979,0.84682,0.94556,1.09618,0.000592213,0.000592213,0.000592213
9,489.355,0.76107,0.6962,1.03144,0.90106,0.84128,0.92202,0.70849,0.87126,0.89254,1.09035,0.00065224,0.00065224,0.00065224
10,540.226,0.75751,0.64299,1.01559,0.88694,0.87817,0.91613,0.71441,0.86768,1.00191,1.05584,0.000708803,0.000708803,0.000708803
11,591.751,0.78674,0.69058,1.0537,0.8793,0.93325,0.93806,0.71306,0.84825,0.90406,1.07951,0.0007619,0.0007619,0.0007619
12,644.517,0.79064,0.64809,1.01901,0.89231,0.90195,0.95336,0.70641,0.89027,1.03838,1.08616,0.000811533,0.000811533,0.000811533
13,696.594,0.74541,0.64231,1.00729,0.89042,0.87321,0.92668,0.6958,0.8724,0.88915,1.03613,0.0008577,0.0008577,0.0008577
14,750.526,0.72478,0.60634,1.00608,0.8967,0.881,0.93699,0.6886,0.8954,0.86172,1.07215,0.000900402,0.000900402,0.000900402
15,803.815,0.75155,0.58566,1.02635,0.80059,0.85307,0.91224,0.69125,0.85359,0.8926,1.01659,0.0009035,0.0009035,0.0009035
16,858.092,0.74512,0.6019,1.00636,0.84628,0.84816,0.91617,0.70847,0.90049,0.89121,1.08897,0.00087875,0.00087875,0.00087875
17,910.238,0.7361,0.59421,1.01828,0.8209,0.89511,0.89946,0.70243,0.82986,0.82509,1.01652,0.000854,0.000854,0.000854
18,962.253,0.72531,0.57974,1.02568,0.83229,0.83301,0.86253,0.67737,0.80772,1.0041,1.01474,0.00082925,0.00082925,0.00082925
19,1013.75,0.73603,0.56309,1.03653,0.88856,0.82127,0.87408,0.67875,0.8432,0.87326,1.05045,0.0008045,0.0008045,0.0008045
20,1065.14,0.72683,0.548,0.99865,0.93792,0.84017,0.91489,0.71292,0.80612,0.77202,1.03217,0.00077975,0.00077975,0.00077975
21,1115.75,0.687,0.53746,1.00801,0.93429,0.83643,0.91963,0.71938,0.84743,0.78949,1.05009,0.000755,0.000755,0.000755
22,1168.16,0.70792,0.53432,0.99313,0.90037,0.89145,0.93161,0.74883,0.84748,0.78716,1.05696,0.00073025,0.00073025,0.00073025
23,1223.51,0.65371,0.48767,0.97317,0.90149,0.89926,0.94348,0.75228,0.80888,0.74807,1.02443,0.0007055,0.0007055,0.0007055
24,1278.67,0.64057,0.49393,0.97548,0.8905,0.92302,0.92414,0.72232,0.88604,0.76242,1.05598,0.00068075,0.00068075,0.00068075
25,1329.8,0.65907,0.50595,0.97285,0.87414,0.94234,0.932,0.72931,0.83193,0.71227,1.02541,0.000656,0.000656,0.000656
26,1380.95,0.66344,0.51074,0.98804,0.91348,0.89218,0.9418,0.77107,0.73807,0.66823,0.97905,0.00063125,0.00063125,0.00063125
27,1433.1,0.64952,0.48086,0.99567,0.93434,0.8723,0.93244,0.75326,0.73824,0.66954,0.97099,0.0006065,0.0006065,0.0006065
28,1484.09,0.6623,0.50977,1.01153,0.9489,0.86513,0.93356,0.74859,0.81634,0.73503,1.01523,0.00058175,0.00058175,0.00058175
